test name, recipe size, time, attack found, maximum attack prob, belief states, states
threshold_mix_4_1, 5, 22118, yes, 1, 1742, 1742
threshold_mix_4_1, 10, 21715, yes, 1, 1742, 1742
threshold_mix_4_1, 1, 19315, no, 1/4, 658, 3802
threshold_mix_2_1, 5, 424, yes, 1, 61, 61
threshold_mix_2_1, 10, 469, yes, 1, 61, 61
threshold_mix_2_1, 1, 207, no, 1/2, 24, 26
foo_2_2, 1, 311146, no, 3/4, 36305, 59509
foo_2_2, 10, 319784, no, 3/4, 36305, 59509
foo_2_2, 5, 308704, no, 3/4, 36305, 59509
threshold_mix_5_1, 5, 1023839, yes, 1, 81829, 81829
threshold_mix_5_1, 1, 607971, no, 1/5, 5832, 104712
dcnet_2, 10, , , , , 
dcnet_2, 1, , , , , 
dcnet_2, 5, , , , , 
threshold_mix_cascade_one_dishonest_2_1, 1, 333, no, 1/2, 53, 57
threshold_mix_cascade_one_dishonest_2_1, 4, 801593, yes, 1, 164995, 164995
binomial_mix_4_1, 3, 3899868, no, 1/4, 871920, 871920
binomial_mix_4_1, 1, 5853, no, 1/4, 1450, 1450
simple_evote_2, 1, 1045, no, 3/4, 177, 263
simple_evote_2, 5, 1090, no, 3/4, 177, 263
simple_evote_2, 10, 1049, no, 3/4, 177, 263
initialized_pool_mix_2_2, 3, 3347707, yes, 5/6, 336938, 439940
initialized_pool_mix_2_2, 1, 3888, no, 1/2, 304, 622
binomial_mix_3_1, 5, 1062443, no, 1/4, 251083, 251083
binomial_mix_3_1, 1, 753, no, 1/4, 176, 176
binomial_mix_2_2, 3, 585595, yes, 37/64, 216244, 216244
binomial_mix_2_2, 1, 965, yes, 37/64, 350, 350
initialized_pool_mix_2_1, 10, 34359, no, 1/2, 4182, 4476
initialized_pool_mix_2_1, 5, 33905, no, 1/2, 4182, 4476
initialized_pool_mix_2_1, 1, 353, no, 1/3, 24, 54
pool_mix_3_1, 4, 1844296, yes, 2/3, 193379, 194927
pool_mix_3_1, 1, 847, no, 1/3, 86, 176
pretavoter_2_2_1, 10, 10573, yes, 3/4, 335, 539
pretavoter_2_2_1, 1, 2114, yes, 3/4, 65, 93
